"","lr_cols_data.day","lr_cols_data.year","lr_cols_data.mo","lr_cols_data.da","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"1",1,2012,7,2,0.8909541511772,0.767734553775744,0.00250807355536073,1,0.203208556149733,0.309462915601023,NA,0.858657243816254,0.802469135802469,0,NA,0,0.436260623229462
"2",2,2012,7,3,0.884758364312268,0.797482837528604,0.00264124560254802,1,0.155080213903743,0.232736572890026,NA,0.858657243816254,0.754320987654321,0,NA,0,0.530689329556185
"3",3,2012,7,4,0.909541511771995,0.899313501144165,0.0022306317903872,0.905882352941176,0.192513368983957,0.209718670076726,NA,0.893992932862191,0.816049382716049,0.0132450331125828,NA,0,0.311614730878187
"4",4,2012,7,5,0.970260223048327,0.884439359267734,0.00204197139020519,0.929411764705882,0.203208556149733,0.309462915601023,NA,0.928150765606596,0.840740740740741,NA,NA,0,0.461756373937677
"5",5,2012,7,6,0.910780669144982,0.861556064073226,0.00251917122595968,1,0.165775401069519,0.179028132992327,NA,0.893992932862191,0.802469135802469,0,NA,0,0.506137865911237
"6",1,2012,7,9,0.868649318463445,0.798627002288329,0.00263014793194909,1,0.18716577540107,0.179028132992327,NA,0.811542991755006,0.816049382716049,0.0198675496688742,NA,0,0.406987724268178
"7",2,2012,7,10,0.843866171003718,0.792906178489702,0.00299637106171415,1,0.181818181818182,0.179028132992327,NA,0.83510011778563,0.72962962962963,0,NA,0,0.398489140698772
"8",3,2012,7,11,0.851301115241636,0.85812356979405,0.00342918021507285,1,0.101604278074866,0.104859335038363,NA,0.811542991755006,0.777777777777778,0,NA,0,0.437204910292729
"9",4,2012,7,12,0.855018587360595,0.837528604118993,0.0036289382858538,1,0.122994652406417,0.104859335038363,NA,0.858657243816254,0.680246913580247,0,NA,0,0.448536355051936
"10",5,2012,7,13,0.87360594795539,0.84324942791762,0.00364003595645274,0.988235294117647,0.160427807486631,0.104859335038363,NA,0.848056537102473,0.754320987654321,0,NA,0,0.473087818696884
"11",1,2012,7,16,0.874845105328377,0.925629290617849,0.00249697588476179,0.905882352941176,0.213903743315508,0.283887468030691,0.177383592017738,0.893992932862191,0.840740740740741,0.0573951434878587,NA,0,0.402266288951841
"12",2,2012,7,17,0.944237918215613,0.87299771167048,0.00225282713158508,0.929411764705882,0.18716577540107,0.179028132992327,0.0909090909090909,0.928150765606596,0.840740740740741,0,NA,0,0.515580736543909
"13",3,2012,7,18,0.952912019826518,0.939359267734554,0.00220843644918931,0.670588235294118,0.197860962566845,0.258312020460358,0.133037694013304,1,0.877777777777778,0,NA,1,0.431539187913126
"14",4,2012,7,19,0.804213135068154,0.917620137299771,0.0026856362849438,0.705882352941177,0.181818181818182,0.309462915601023,0.0909090909090909,0.716136631330978,0.816049382716049,0.388520971302428,NA,0,0.396600566572238
"15",5,2012,7,20,0.728624535315985,0.867276887871853,0.00287429668512579,0.694117647058824,0.347593582887701,0.258312020460358,0.155210643015521,0.692579505300353,0.72962962962963,0.0375275938189845,NA,0,0.474032105760151
"16",1,2012,7,23,0.837670384138786,0.917620137299771,0.00309625009710462,0.870588235294118,0.160427807486631,0.258312020460358,NA,0.83510011778563,0.766666666666667,0,NA,0,0.380547686496695
"17",2,2012,7,24,0.8909541511772,0.918764302059496,0.00182001797822637,0.776470588235294,0.320855614973262,0.309462915601023,0.0909090909090909,0.882214369846879,0.840740740740741,0.0331125827814569,NA,0,0.445703493862134
"18",3,2012,7,25,0.843866171003718,0.760869565217391,0.00229721781398085,1,0.224598930481283,0.411764705882353,NA,0.822143698468787,0.802469135802469,0,NA,0,0.481586402266289
"19",4,2012,7,26,0.862453531598513,0.862700228832952,0.00199758070780943,0.870588235294118,0.229946524064171,0.258312020460358,0.352549889135255,0.848056537102473,0.802469135802469,0,NA,1,0.474032105760151
"20",5,2012,7,27,0.845105328376704,0.941647597254004,0.00199758070780943,0.894117647058823,0.235294117647059,0.283887468030691,NA,0.848056537102473,0.840740740740741,0.132450331125828,NA,0,0.50519357884797
"21",1,2012,7,30,0.801734820322181,0.893592677345538,0.00328491049728662,1,0.117647058823529,0.153452685421995,NA,0.752650176678445,0.777777777777778,0.0022075055187638,NA,0,0.404154863078376
"22",2,2012,7,31,0.80545229244114,0.884439359267734,0.00307405475590674,1,0.203208556149733,0.283887468030691,NA,0.765606595995289,0.718518518518519,0,NA,0,0.413597733711048
"23",3,2012,8,1,0.790582403965304,0.931350114416476,0.00259685492015226,0.741176470588235,0.133689839572193,0.179028132992327,NA,0.742049469964664,0.802469135802469,0.121412803532009,NA,1,0.484419263456091
"24",4,2012,8,2,0.825278810408922,0.931350114416476,0.0024747805435639,0.552941176470588,0.144385026737968,0.209718670076726,NA,0.848056537102473,0.793827160493827,0.0242825607064018,NA,1,0.441926345609065
"25",5,2012,8,3,0.861214374225527,0.958810068649885,0.00291868736752155,0.529411764705882,0.235294117647059,0.258312020460358,0.0909090909090909,0.871613663133098,0.829629629629629,0,NA,1,0.459867799811143
"26",1,2012,8,6,0.853779429987608,0.914187643020595,0.00296307804991733,0.870588235294118,0.294117647058824,0.309462915601023,0.177383592017738,0.83510011778563,0.854320987654321,0.108167770419426,NA,0,0.463644948064212
"27",2,2012,8,7,0.827757125154895,0.81350114416476,0.00296307804991733,1,0.0641711229946524,0.179028132992327,NA,0.798586572438163,0.754320987654321,0.0022075055187638,NA,0,0.420207743153919
"28",3,2012,8,8,0.85997521685254,0.916475972540046,0.00285210134392791,0.858823529411765,0.0588235294117647,0.130434782608696,NA,0.83510011778563,0.766666666666667,0,NA,0,0.402266288951841
"29",4,2012,8,9,0.864931846344486,0.945080091533181,0.00273002696733956,0.917647058823529,0.122994652406417,0.104859335038363,0.0221729490022173,0.858657243816254,0.72962962962963,0,NA,0,0.452313503305005
"30",5,2012,8,10,0.828996282527881,0.964530892448513,0.00250807355536073,0.717647058823529,0.288770053475936,0.437340153452685,0.219512195121951,0.752650176678445,0.793827160493827,0,NA,1,0.486307837582625
"31",1,2012,8,13,0.841387856257745,0.848970251716247,0.00284100367332897,0.905882352941176,0.229946524064171,0.258312020460358,NA,0.83510011778563,0.829629629629629,0.011037527593819,NA,0,0.379603399433428
"32",2,2012,8,14,0.837670384138786,0.864988558352403,0.00277441764973532,0.952941176470588,0.122994652406417,0.179028132992327,NA,0.776207302709069,0.829629629629629,0,NA,0,0.394711992445703
"33",3,2012,8,15,0.807930607187113,0.937070938215103,0.00249697588476179,0.588235294117647,0.18716577540107,0.179028132992327,NA,0.776207302709069,0.793827160493827,0.0022075055187638,NA,1,0.472143531633617
"34",4,2012,8,16,0.812887236679058,0.884439359267734,0.00254136656715755,0.611764705882353,0.165775401069519,0.258312020460358,0.0221729490022173,0.822143698468787,0.791358024691358,0.0331125827814569,NA,1,0.482530689329556
